degradation,revision,bug,packages,files,issues,insertions,deletions,churns,lines,hunks,hour,day
false,8daef11930bb9fd8e5ade92752b903e7d8ec1659,false,9,14,1,76,208,284,-132,32,12,6
false,8dd3c24365facb5b3d64e45a4d384aa0007e8524,false,5,11,1,168,33,201,135,26,18,3
false,8f4a1398026ce8d5eda836bb5604237f9cdb294e,false,1,1,1,31,23,54,8,4,19,1
false,8f998ce6a8003b9fd29c016b1eb682c569e2dee6,false,1,1,1,2,6,8,-4,2,10,5
false,9038c385182fa4c981ea20f916a4c3c5c30e207c,true,3,6,1,49,11,60,38,9,15,4
false,90b7ca90d3c1afe5dfbbc1672d9410484790414a,true,1,1,1,3,2,5,1,1,14,5
false,90c2b18127ff9f902d1ac2c4cf147c1f346d0098,false,3,4,1,19,12,31,7,12,12,4
false,90fa7ed0f228a66d8867dd741fb56e743cd55f61,false,1,1,1,12,11,23,1,11,10,5
false,914b18d0f81e0df9d2f02fd7f2d3d71a49c2e22a,false,1,1,1,3,3,6,0,2,15,6
false,91c5ab120aa4ab24d9756bf9b743a85ab9ece6aa,false,1,1,1,1,1,2,0,1,10,5
false,936ad6a5c4b4a274762543901b0025f57defb7c4,false,2,4,1,13,12,25,1,6,23,4
false,93ce371191bfabf953f9a3d4f5196ca867320cb5,false,1,1,1,1,1,2,0,1,16,4
false,943a874c7704f82428697f2a6c2218d00b9bff09,false,1,1,1,17,1,18,16,2,10,6
false,9589d9720704809ecb5a55a4ebe942a001d9bd14,false,1,2,1,2,2,4,0,2,10,3
false,95c2579ace678903b2e63023ced97be4877b6889,false,4,12,1,182,40,222,142,39,7,3
false,966d4dd5e0dbdd08093eba9acd3a8019c61dcc5e,false,1,1,1,1,1,2,0,1,8,2
false,96832b461416db3c95af8d2ae0b597b4d33e5066,true,1,2,1,101,4,105,97,4,19,2
false,96b90813bc042564a00ee12ff297f6b50b1b1bd3,false,1,4,1,207,2,209,205,4,17,4
false,972c71522caddfa3c6836dafab6831a9643cbd08,false,1,6,1,595,0,595,595,6,10,1
false,999182fe5cd1e116273882bfe37101493617400d,false,2,2,1,3,3,6,0,2,11,5
false,99fcd91fe8c3568750f65e7ed830c62b5d46cdaf,false,7,39,1,129,5806,5935,-5677,51,15,6
false,9a123fa341da10bd2af0f1eede568d968820b26d,false,1,1,1,17,0,17,17,1,21,4
false,9abb70eca7d31c65ac413d9208e8a7e24fee3f62,false,1,2,1,32,36,68,-4,8,14,4
false,9b40509320b809321b7970252669dc7f72e04b83,false,2,7,1,265,140,405,125,7,11,4
false,9bd9d3679d90ed0192f4127373d34f7c43faa660,true,1,2,1,17,2,19,15,3,15,1
false,9bf298b3b7da84bdc197f61ce0f2565fbdd43cea,true,1,1,1,12,2,14,10,3,21,4
false,9d495f38f15c50deb65e94d9d039e3317062cd50,false,1,3,1,117,56,173,61,14,22,3
false,9d726ae2f33d3988aa3bb26521717234e0d41deb,false,3,3,1,40,3,43,37,3,17,5
false,9fb48d836a5ad26f991e81222fced6cc290c41e3,false,1,1,1,1,1,2,0,1,11,2
false,9fdbd9f6a3e2843ab4839aefecdf107fd1e80dcf,true,1,1,1,7,4,11,3,2,16,5
false,a01a674b57fdc274f68fe7e9acfda1914190c878,true,1,1,1,2,0,2,2,1,10,3
false,a05aa4cae6145a707698fce9ef73885656589318,true,2,2,1,38,12,50,26,5,18,3
