# Degradated scenarios (UTest P-Value)
135
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for AsyncServletIOTest.testAsyncConsumeAll;1.874780439989783E-11;1.5705228423079642E-4;2.500923996E8;3.422036743E8;10;10;9.211127470000002E7
Entry point for GzipHandlerTest.testForwardGzipHandler;2.615823233116506E-4;1.5705228423079642E-4;1.54150933E7;3.84926876E7;10;10;2.30775943E7
Entry point for AsyncServletTest.testStartWaitComplete;0.002309640305770475;0.002496908915141538;5.86683057E7;6.96354759E7;10;10;1.0967170200000003E7
Entry point for GzipHandlerTest.testGzipHandler;3.3741430147358285E-5;8.807431907417174E-4;1.13727884E7;2.22633956E7;10;10;1.0890607200000001E7
Entry point for ServletContextHandlerTest.testReplaceServletHandlerWithServlet;1.8222210995246077E-4;2.8511808363163027E-4;1.64804154E7;1.175015578E8;10;10;1.0102114239999999E8
Entry point for AsyncContextTest.testSimpleWithContextAsyncContext;4.8231999468831727E-4;5.065414846923133E-4;4119956.1;1.58038017E7;10;10;1.16838456E7
Entry point for PostServletTest.testBadSplitPost;3.865680487644102E-18;1.5705228423079642E-4;3.645873308E8;6.29116048E8;10;10;2.645287172E8
Entry point for DefaultServletTest.testGzip;0.004108741764545114;1.5705228423079642E-4;4.97399535E7;7.8310539E7;10;10;2.85705855E7
Entry point for AsyncServletIOTest.testBigWrites;5.7097039099144824E-8;1.5705228423079642E-4;2.0535900439E9;2.1151682272E9;10;10;6.157818329999995E7
Entry point for AsyncServletTest.testFwdStartDispatchPath;3.2552096842985125E-5;2.8511808363163027E-4;3.00441775E7;4.61755127E7;10;10;1.6131335200000003E7
Entry point for AsyncServletTest.testStartTimeoutStart;2.455382153188398E-4;2.1218287122259927E-4;2.99683128E7;4.84057638E7;10;10;1.8437450999999996E7
Entry point for AsyncContextTest.testSimpleAsyncContext;0.023210127982470224;0.0019397281129029942;1.09405875E7;2.32313167E7;10;10;1.22907292E7
Entry point for AsyncContextTest.testStartCompleteThrow;2.763465786341032E-19;1.5705228423079642E-4;1.997363027E8;3.839089696E8;10;10;1.8417266690000004E8
Entry point for AsyncIOServletTest.testAsyncWriteThrowsException;0.0026408212326660507;0.004071994217732744;6.55568078E7;1.045326098E8;10;10;3.8975802E7
Entry point for AsyncServletTest.testStartTimeoutStartComplete;3.409790025917334E-5;1.5705228423079642E-4;3.11604167E7;4.86428494E7;10;10;1.74824327E7
Entry point for DefaultServletTest.testListingXSS;0.0036783307776661347;0.0011520450981421515;1.51468485E7;3.63519018E7;10;10;2.1205053299999997E7
Entry point for AsyncContextTest.testStartDispatchThrow;0.0029563851618745747;6.69729449021883E-4;9180474.4;4.05693349E7;10;10;3.13888605E7
Entry point for ErrorPageTest.testGlobalErrorCode;9.4599495445153E-6;1.5705228423079642E-4;5900164.8;1.68827342E7;10;10;1.0982569399999999E7
